,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,,,,( ₹ crore),,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
6.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"140,841","166,644","186,738","208,076","224,322","253,592","303,604","346,645","373,521","298,159","372,654","478,977","527,565",,,,,,,,,,,,,,CE,6.1.2.2.1
6.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"687,069","810,772","925,364","1,027,360","1,112,434","1,247,748","1,446,032","1,637,808","1,785,886","1,370,370","1,718,404","2,119,064","2,308,265",,,,,,,,,,,,,,OS/MI,6.1.2.2.2
6.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"10,204","19,836","8,349","11,934","15,476","13,273","18,638","19,250","19,925","15,396","23,654","30,564","33,414",,,,,,,,,,,,,,Production taxes less production subsidies,6.1.2.2.3
6.2,सकल पूंजी निर्माण ,"192,281","374,565","238,880","389,746","403,141","449,387","561,591","601,722","551,180","413,533","720,270","1,152,544","943,453","192,281","349,773","212,894","340,311","361,884","398,221","476,663","485,869","440,238","321,574","503,247","731,685","598,312",Gross Capital Formation ,6.2
6.3,स.मू.व. का उत्पादन से अनुपात,66.4,67.2,67.4,66.8,67.6,67.9,68.6,68.3,68.1,68.5,67.9,65.8,65.3,66.4,67.1,67.1,66.6,67.4,67.7,68.5,68.3,68.1,68.5,67.8,65.9,65.4,GVA to Output Ratio,6.3
6.4,स.पू.नि. का उत्पादन से अनुपात,14.5,23.9,13.6,19.7,19.0,19.0,20.5,19.2,16.1,15.3,21.2,26.4,19.7,14.5,23.9,13.8,20.0,19.3,19.4,20.8,19.4,16.4,15.3,21.1,26.1,19.6,GCF to Output Ratio,6.4
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Transport, storage, communication & services related to broadcasting ",7
7.1,उत्‍पादन ,"1,257,242","1,423,303","1,613,397","1,806,488","1,908,687","2,072,981","2,292,285","2,517,054","2,628,288","2,221,544","3,086,362","3,611,596","3,893,989","1,257,242","1,328,128","1,407,157","1,535,912","1,634,949","1,710,564","1,850,627","1,936,554","1,962,586","1,529,830","1,862,041","2,141,582","2,281,830",Output,7.1
7.1.1,मध्‍यस्‍थ उपभोग ,"727,708","813,850","923,490","1,019,725","1,048,143","1,142,825","1,294,757","1,450,999","1,475,731","1,204,828","1,720,540","2,069,134","2,194,019","727,708","758,605","789,601","864,064","903,550","953,507","1,050,383","1,105,577","1,101,394","814,419","996,441","1,204,119","1,286,853",Intermediate consumption,7.1.1
7.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"529,534","609,453","689,906","786,763","860,544","930,155","997,528","1,066,055","1,152,558","1,016,715","1,365,822","1,542,462","1,699,970","529,534","569,523","617,556","671,848","731,399","757,056","800,245","830,977","861,192","715,411","865,601","937,463","994,977",GVA at basic prices,7.1.2
