Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer and related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Intermediate Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at Purchaser's Prices
63,Leather footwear, , , , ,3, , , , , , , , , , , , , ,6857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,895,7754,81100, , ,252, ,18725,107832
64,Leather and leather products except footwear, , , , ,3, , , , , , , , , , , ,8,809,8877, , , , , , ,188, ,136,8503, ,11, , , , , , ,716,253, , , , , , , , , , , , , , , , , , , , , , , , , , ,27,19531,6324, , ,800, ,15933,42588
65,Wood and wood products except furniture, ,5441,8,44,26,1,2, ,6, ,128,293,239,856,4,2307,5908,462,324, ,222,3507,190, ,359,3,984,549,952, ,19875,1520,2535,1315,20822,30271,412,57880,6253,410,11333,195,260,6, , , , , , ,14,1222, , , , ,17, , , , , , , , , ,177158,21357, ,4921,6847, ,13746,224029
66,"Paper, Paper products and newsprint", , ,7, ,37, ,0,28,13,459,2004,422,1212,1133,165,4114,2911,1017,1653, ,6157,2776,1626,291,363,2,3920,2515,6785,3230,3883,1931,4180,1911,1956,5685,14979,278,385,420, ,305,503,17,476,59,8,37,12,4,30915,202,0,4275,110, ,34039,329,98,12,13,45,2307,38,6,228,152485,130108, ,7598,4458, ,23706,318356
67,"Publishing, printing and allied activities", , ,8, ,0, ,1,4,6,85, , , , ,479,17,114,334, , , ,18,120,18, ,5, ,23, , , , ,168, , ,541,443,64,134, , , , , ,175,2,3,6,2,2, ,25737,0,2294,48, , , ,33,4,2,2,46,7,2,200,31146,33411, ,173,-106, ,2715,67339
68,Furniture & Fixtures, , ,3, ,2, ,0,176,57,90, , , , , , , , ,12,528, ,762,212,48,39,225,2528,2167,20380, , , , , ,53, , ,14150,2, ,217831,3,33,2,25,0,3,2,4,2,27,28, ,189,14, ,1,9,23,3,0,15,30,3,1,1359,261042,108756, ,26227,-20412, ,11865,387478
69,Rubber products, , ,4, ,1, ,0,506,976,470,96, ,108,2, , ,198,1201,1737,167, ,4409,13, , ,537,9737,15798,69052,26,318,97,25065,269,230,330,259,3690,493,33, , , ,246, ,641,1, ,0,14,15,123,1, , , ,18, ,0, , ,12, ,12, ,98,137006,46854, ,49116,4175, ,34585,271736
70,Plastic products, , ,1, ,0, ,0, , ,814,4989,4143,3423,2591,386,1012,9521,10635,2234,139,9024,3531,8845,1782,1527,456,7522,8190,15538,3,8118,3910,49238,3433,236,2975,3257,4403,3822,840,245135,10045, ,11, , , ,0,16,14,50,11276,12667, , , ,0,17,30037,26004,1,3,26,66,47, ,511954,68648, ,28732,8402, ,67805,685541
71,Petroleum products,56499, ,56,244,314,11,10,5716,1280,2121,5742,3994,2615,4012,1327,62,22361,2908,1445,45834,13483,6627,141, ,7,9,8979,4109,17690,127322,94743,2127,10262,16875,750,1939,898,2576,1951,8,59294,87291,2130,1323,2498,143135,46,38456,50827,20,40873,373715,34, , , ,489,154,11574,187,5,599, ,236,20,140,1280095,668824, ,16030,9913, ,502779,2477641
72,Coal tar products, , , , , , , , , , , , , , , , , , ,0,18394,476,327, , , , , , , ,717,680, ,1,563, , , , , , , ,5701,505,200, , ,1, , , ,65, , , , , ,77,0,2,0,0,3, ,1,0,35,27752,6219, , ,389, ,2775,37135
73,Inorganic chemicals, , , , , , , ,6093,1367, ,3863, ,6470,1025,1516, ,4206,14,580,18848,13595,2429,319, , ,4,3282,1907,4985,592,101326,17919,36332,12862,344,4255,165,1580,276,4, , , ,39, , ,0, , ,2,1, , , , , ,1, , , , , , , , , ,246199, , ,6284,13207, ,21728,287418
74,Organic chemicals, , , , , , , ,9098,4568, ,9296,46,1617,3642,2579,983,27553,32,3339,1590, ,1981,2308, ,7500,37,14644,1645,6642,6357,400147,73328,100894,1870,3004,2691,414,4891,3802, , , , ,126, , ,0, , ,2,2, , , , , ,2, , , , , , , , , ,696627, , ,11784,14884, ,214932,938227
75,Fertilizers,171264, , ,33, , ,1, , , ,55, ,425,2, , , , , , , ,4, , , , , ,33, ,220,19804,607, ,482,37,2, , , , , , , , , , , , , , ,116,30011, , , , , ,39, , , , , , , , ,223135, , ,33,895, ,630,224693
76,Pesticides,3004, , , , , ,2, , , ,1, ,112, , , ,21, , , , , , , , , ,598, ,7, ,14854,617,13, ,1153, , , ,73, , , , ,9, , ,0, , ,11,0,16520, , , , ,0, , , , , , , , , ,36995,12831, ,350,74, , ,50250
77,"Paints, varnishes and lacquers", , , , , , , , , , ,472,47,118,947,786,3,6978,849,1434,5378,2164,6695,531, , ,20,1930,3631,2562,67,3477,2877,3757,9281,292,3658,3151,4085,1142, , , , , , , , , , , , , , , , , , , , , , , , , , , ,66334,80573, ,8653,-301, ,10653,165913
