Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
61,Ready made garments,,,1112,,8,1,,127,75,82,,,,5,,,7153,3420,1394,,,10,5,,4,180,115,155,169,,2,21,68,8,1,,,4,293,,,,,,1495,1245,152,6676,288,73,1061,1545,8,21,88,,646,7,2983,531,16,621,70,211,187,759,33093,163942,,,738,,109973,307747
62,Misc. textile products,,,150,96,,,,,,,1218,72,1803,7660,1159,197,22626,7585,3753,276,181,28,63,12,17,3,266,495,1582,679,750,2191,6220,479,94,144,447,286,959,,,,,,,,,,,165,,1649,,288,35,,1,1,23,2,3,21,11,48,27,,63766,146024,,,476,,50524,260789
63,Leather footwear,,,,,63,,,,,,,,,,,,,,7853,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,759,8697,77687,,,42,,20614,107039
64,Leather and leather products except footwear,,,,,85,,,,,,,,2,,,,29,1690,19267,,,3,3,,,165,,22,298,,,,68,,109,9,12,1019,75,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22881,17048,,,101,,16035,56064
65,Wood and wood products except furniture,,4844,909,111,638,2,,,5,,383,1225,209,807,985,1559,2199,17,89,33,22,283,18,,61,28,311,241,357,,4936,47,502,6091,,35868,1045,20581,1390,10,10029,2955,897,40,,,,,,,,47153,,,,,,,,,,,,,354,,147236,19229,,,3740,,3748,173953
66,"Paper, Paper products and newsprint",,,770,,899,,,15,13,376,453,847,111,878,358,402,878,34,101,17,32,662,623,9,,24,870,486,718,,1852,1336,2247,1007,14,122,22963,43,299,4,,4631,1736,122,3319,3200,108,3144,291,212,60603,8688,2,8815,4381,,39007,810,12473,3061,97,3811,427,1232,1721,194,201549,24813,,,4267,,13876,244505
67,"Publishing, printing and allied activities",,,928,,1,,,2,5,70,,,,,24,1,9,213,29,,,2,12,1,,,22,60,3,,1,74,57,7,9,1,191,47,48,,,,,,485,120,41,504,35,13,,28909,1,5160,598,,5613,3,478,1042,32,204,140,83,174,170,45621,47009,,,2101,,2411,97142
68,Furniture & Fixtures,,,334,,129,,,92,55,74,3,,12,,,,3,3,,1525,,248,210,105,314,120,578,524,6936,,,,40,,10,,1,6985,1,,150165,49,113,13,69,24,45,195,85,103,1519,1568,,426,179,,925,2,307,406,23,1353,97,38,79,1152,177240,47509,,19224,2135,,7161,253269
69,Rubber products,,,491,,19,,,263,936,386,20,,,9,,,612,579,4950,250,417,718,565,139,4431,96,3056,9981,34938,70,1124,64,14316,145,39,31,16,3932,776,744,,,,1752,,40866,14,,102,1784,,4824,31,,,,,,,,0,1014,,571,662,84,135815,24273,,,977,,22415,183480
70,Plastic products,,,155,,3,,,,,668,8369,3222,750,7656,5063,35,1037,1487,2031,118,640,1145,2299,549,1588,561,8359,3480,8324,27,3435,3972,24647,707,126,2124,2513,1469,1389,19,219164,663,,89,,,,10,381,836,3150,11414,16524,,,,2481,,292,30924,39,288,160,2773,1680,,388838,46831,,,4267,,49163,489099
71,Petroleum products,43449,,6600,611,7614,17,,2968,1228,1741,1422,1183,1230,2144,853,127,3845,995,537,7262,4441,2424,170,17,75,38,1899,1226,2143,11918,9901,1316,3286,12995,65,221,187,193,612,158,51684,80061,6843,8536,5545,136736,543,35457,19847,472,18888,222332,1167,,,,12414,16,15890,9645,1321,45449,5653,6689,13950,102,836349,288102,,,9007,,284275,1417734
72,Coal tar products,,,,,,,,,,,4,,,,,,8,,,27142,3811,,184,,,,3,46,47,1400,668,,801,3219,1,10,,,,,,10642,1742,1427,,,11,,,,16,,,,,,9,,,130,2,285,11,67,1627,30,53342,11245,,,454,,4686,69727
73,Inorganic chemicals,,,,,,,,3164,1311,,611,3,744,481,392,4,5611,76,468,2302,5957,1779,316,13,66,35,4651,539,1555,81,73952,14827,21601,12562,34,1442,99,3369,109,1,,,,354,,,3,,,140,,,,,,,,,,,,,,,20,,158672,,,,4658,,13924,177253
74,Organic chemicals,,,,,,,,4724,4381,,8866,88,1051,684,3528,206,27989,52,9173,179,341,1739,860,73,104,282,11065,3244,8894,10988,382326,47472,115772,4488,3646,2384,351,12520,3843,1,,,,2054,,,21,,,200,,,,,,,,,,,,,,,115,,673705,,,,1599,,161341,836645
75,Fertilizers,94362,,,83,,,,,,,5,0,42,20,12,,0,,2,,,1,,,,,,,5,,8354,208,57,121,11,6,,,,,,,,,,,,,,,,16654,,,,,,,,,,,,,,,119942,,,,2914,,837,123693
76,Pesticides,2354,,,,,,,,,,26,,5,3,12,1,,,7,6,6,3,,,,1,55,,68,,8991,725,49,12,81,21,,,1,,,,,65,,,1,,,2639,,26760,,,,,,,,,,,,,4,,41898,11487,,,1397,,,54782
77,"Paints, varnishes and lacquers",,,,,,,,,,,42,4,33,164,195,,9612,588,2381,2071,100,2545,329,26,10,14,2727,640,11823,,23477,625,21066,2107,276,2162,7781,1540,1525,111,,,,,,,,,,,,,,,,,,,,,,,,,,,93973,107503,,,425,,25181,227083
78,Drugs and medicine,,13744,,459,,,,,,,4282,93,1616,903,287,7,1381,149,83,9,3,,8,,,1018,10,,3,,4898,65979,303,253,5,24,10,12,728,,,,,,,,,,,,,,,,,,,51292,,,,,,630,353,5436,153976,261972,,,1159,,136240,553347
79,"Soaps, cosmetics and glycerin",,,,,,,,,,,964,168,24,786,983,562,424,25,377,281,6,787,1,,,,93,12,54,,7295,1005,178,348,113,83,,285,267,,8392,207,,17,,,,,,,,199,8,,,,,,,,,,,,1,10,23954,122682,,,6323,,19202,172160
80,"Synthetic fibres, resin",,,,,,,,,,,,,1,,4,,74329,9077,337,7,,62,18,,2,,319,20,316,,1005,10,3579,139,16,12,2,895,108,,,,,2497,,,19,,,,,,,,,,,,,,,,,,136,,92910,,,,92,,,93002
81,Other chemicals and chemical products,,,,80,479,489,,182,32,,1381,319,448,2241,1733,351,8690,411,1600,4050,1727,510,24,1,65,21,379,634,1061,108,14292,5581,7729,6037,1293,4262,378,2268,472,2,403,212,,38,,,,,,,,,,,,,,,,,,,,,2,,69987,3935,,9,1084,,2373,77388
