क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
9.42,करेला,1342,1590,1552,1748,2213,2354.214,2475.62,2805.12572,3957.01197,3458.48692,1342,1455,1275,1239,1511,1518.044,1707.32,1843.38023,2043.73447,2088.23647,bittergourd,9.42
9.43,लौकी,1512,1550,1763,1870,2093,2161.011,2551.363,2934.81444,4212.58983,4248.00159,1512,1622,1376,1372,1527,1586.027,1755.236,1993.16373,2351.87591,2448.92998,bottlegourd,9.43
9.44,शिमला मिर्च,227,324,299,323,510,558.623,665.609,1663.15234,2083.81346,2270.66967,227,268,250,269,411,455.03,478.885,751.80366,883.33987,931.34676,capsicum,9.44
9.45,गाजर,1239,1237,1366,1467,1656,1631.699,2355.989,2843.63007,4169.32242,3839.77119,1239,1223,1178,1014,1251,1247.387,1740.601,2008.02695,1935.58879,1980.92789,carrot,9.45
9.46,खीरा,559,621,730,835,1236,1192.771,1297.235,2322.24989,3196.91788,3110.44284,559,606,573,579,843,757.212,820.808,1171.21342,1669.17886,1678.59258,cucumber,9.46
9.47,खरबूजा,657,695,728,767,1299,1367.945,2098.478,1710.72677,2129.42396,2125.30807,657,715,629,678,829,968.474,1112.343,1057.3522,1151.04947,1132.81581,muskmelon,9.47
9.48,परमल,47,259,341,670,493,591.004,717.283,2181.96117,2769.04516,2721.48041,47,226,245,470,328,361.616,406.821,829.57936,741.88022,708.54815,parmal,9.48
9.49,मूली,2477,2695,3232,3065,3403,3791.968,4300.487,4339.26315,5049.99233,5283.68954,2477,2598,2645,2433,2657,2730.106,3221.489,3307.86511,3331.9773,3370.12928,radish,9.49
9.50,कद्दू,255,322,366,1319,1809,1916.397,2109.346,2701.70898,3248.21857,3399.1777,255,317,288,1008,1490,1503.816,1534.747,1918.45952,2030.15835,2087.63823,pumpkin,9.50
9.51,तरबूज,2612,2799,3372,4013,4387,4116.462,4564.129,3763.20857,5166.4655,5320.0502,2612,2728,2759,2919,3773,3396.466,4044.018,3608.48544,4791.36549,4865.04716,watermelon,9.51
9.52,अन्य सब्जियां,20581,24381,31645,42577,42755,39653.456,44924.606,43380.49559,52766.63115,56158.68714,20581,21865,22572,27487,29192,28269.572,28631.111,27545.02566,27641.64995,28464.92173,other vegetables,9.52
10,अन्य फसलें,91975,98494,104961,98236,99554,99953.011,99176.476,94742.41059,101639.83739,110582.93694,91975,94805,103127,97607,93580,85234.638,84964.497,82095.84535,85056.81995,86063.95813,other crops,10
10.1,रबर,17164,14422,11464,7319,5582,8012.836,8677.837,8219.83382,8450.9858,8787.81558,17164,17259,14448,11820,10294,12573.178,12739.863,12849.17606,12682.89038,12736.32953,rubber,10.1
10.2,ग्वार बीज,22296,25398,30172,22230,16966,11040.214,10057.224,8358.01008,5997.48993,5574.59,22296,25345,37400,34075,28534,19028.417,16715.499,13972.78185,16372.30087,16372.30087,guar seed,10.2
10.3,विविध खाद्य फसलें,72,31,30,26,32,31.424,30.324,51.31741,44.50591,50.06915,72,26,26,21,24,22.709,23.46,36.8759,31.39789,31.39789,misc. food crops,10.3
10.4,विविध गैर खाद्य फसलें,1586,714,1223,1229,1267,1222.664,1219.828,1238.30877,1236.54561,1286.10183,1586,1560,1553,1575,1605,1564.494,1560.464,1570.60968,1569.42209,1569.42209,misc. non-food crops,10.4
10.5,चारा,32494,37161,39422,43562,47064,51385.851,51454.675,48525.49984,53889.25053,59390.27213,32494,32372,31636,31822,32792,31741.053,33321.375,32695.94934,32626.09379,32943.44927,fodder,10.5
