Product_ID,Product_Name,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct,Tourism_Demand_crore,Source_Group,Water_Multiplier_m3_per_crore,Total_Water_m3,Green_Water_m3,Water_pct,WSI_weight,Scarce_m3,Scarce_pct,Multiplier_Ratio
126,Communication services,0.0,0.0,0.0,69667.42320877626,Services,786.5468407875188,54796691.63067004,70069203.68148735,1.017655843202476,0.0,0.0,0.0,0.21899215382233317
127,Financial services,0.0,0.0,0.0,67932.41032196632,Services,568.3450914471213,38609051.956661314,60819632.60017845,0.7170273634223041,0.0,0.0,0.0,0.15823992829942468
80,"Synthetic fibres, resin",0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,3604.4527107097965,32577360.992585875,70397668.14972125,0.6050099154465332,0.814,26517971.8479649,0.9254849486602381,1.003559891841614
124,Supportive and Auxiliary transport activities,0.0,0.0,0.0,12885.512034890136,Services,2472.2861869813714,31856673.416041106,38173749.11263108,0.5916256781583148,0.0,0.0,0.0,0.6883395226788702
76,Pesticides,0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,2927.6301190227464,26460178.810721535,49952267.40732798,0.4914047687477853,0.814,21538585.551927328,0.7517029152163234,0.8151174121022525
67,"Publishing, printing and allied activities",713.1762732715799,0.0,0.0,10022.883072870893,Manufacturing,2614.3683316269094,26203508.097313065,24270830.26134803,0.48663801288158115,0.814,21329655.591212835,0.7444111986750269,0.7278983553664051
73,Inorganic chemicals,0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,2835.6166996736683,25628553.424323604,48507172.64309697,0.47596025177717155,0.814,20861642.48739941,0.7280774049053377,0.7894988273735452
81,Other chemicals and chemical products,0.3610879409991949,0.0,0.0,9038.08805586207,Manufacturing,2759.856970526745,24943830.321205452,47734580.15098003,0.4632439281063844,0.814,20304277.881461237,0.7086252176615643,0.7684056319037497
77,"Paints, varnishes and lacquers",0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,2697.1322684969814,24376918.940982737,46018945.890233494,0.45271554287922366,0.814,19842812.017959945,0.6925199244875796,0.7509416782228616
79,"Soaps, cosmetics and glycerin",0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,2580.2848758835685,23320841.917444825,44265041.06241098,0.43310262607908406,0.814,18983165.320800085,0.6625180041315176,0.7184087623811112
74,Organic chemicals,0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,2247.799459967364,20315809.451104242,40260607.08391865,0.3772947158315791,0.814,16537068.893198851,0.5771485256625127,0.6258374194295556
114,Electricity,3375.4843579317107,25.27061468926554,0.7430883698683346,3488.9209075140348,Electricity,5483.181741911149,19130387.419053033,12596025.553459477,0.3552796703666323,0.814,15572135.359109167,0.5434720640018119,1.526639886135907
66,"Paper, Paper products and newsprint",1922.798103138308,0.0,0.0,5518.948412742584,Manufacturing,3459.8794896960476,19094896.417938624,14920533.512992106,0.35462054983233776,0.814,15543245.684202038,0.54246380592493,0.9633074880265613
78,Drugs and medicine,0.3610879409991949,0.0,0.0,9038.08805586207,Petroleum,1340.2566500951368,12113357.621014565,30889497.926451452,0.22496301869668156,0.814,9860273.103505855,0.3441264060197867,0.3731572937031579
59,Silk yarn and silk textiles,85.75962539592787,13.641985649717514,13.72410920327347,1744.4604537570174,Manufacturing,5264.917669623215,9184440.666944252,23034672.617416244,0.17056868641374173,0.814,7476134.702892621,0.2609192807561789,1.465870308516714
55,Tobacco Products,3.8574727479209048,0.0,0.0,4622.043398065117,Manufacturing,1976.6407095567129,9136119.141953353,36589072.69485111,0.16967128401961765,0.814,7436800.981550029,0.2595465224137961,0.5503407856616978
58,Wool yarn and woolen textiles,85.75962539592787,13.641985649717514,13.72410920327347,1744.4604537570174,Manufacturing,5220.827348423369,9107526.845217675,22838780.38000638,0.16914028265844502,0.814,7413526.852007187,0.25873424850730875,1.4535945813742523
60,Carpet weaving,85.75962539592787,13.641985649717514,13.72410920327347,1744.4604537570174,Manufacturing,5063.757657569706,8833524.981039621,22140923.518607385,0.16405166161525234,0.814,7190489.334566251,0.2509501741232803,1.4098628821078587
57,Synthetic yarn and synthetic textiles,85.75962539592787,13.641985649717514,13.72410920327347,1744.4604537570174,Manufacturing,4500.914393758408,7851667.165657283,19012432.635930177,0.145817105599491,0.814,6391257.072845028,0.22305673517751723,1.253154785126607
62,Misc. textile products,85.75962539592787,13.641985649717514,13.72410920327347,1744.4604537570174,Manufacturing,4182.831300606713,7296783.788645442,18212362.692286767,0.13551209823302496,0.814,5939582.003957389,0.20729314359000045,1.1645933695165516
131,Renting of machinery & equipment,0.0,0.0,0.0,7751.561982048116,Services,855.8513335421659,6634184.659370635,10762125.701734493,0.12320664957287315,0.0,0.0,0.0,0.2382880677474448
137,Education services,0.0,0.0,0.0,30024.544244088214,Services,210.05639567330098,6306847.545646725,8602105.495281026,0.11712751383374172,0.0,0.0,0.0,0.05848437769655887
56,Cotton Yarn and Cotton Textiles,85.75962539592787,13.641985649717514,13.72410920327347,1744.4604537570174,Manufacturing,3519.996954994269,6140495.485332622,15282031.820309553,0.11403810932464423,0.814,4998363.325060754,0.17444433728947037,0.9800455289483395
135,Computer related services,0.0,0.0,0.0,14706.99753596632,Services,308.5575319891343,4537954.862668048,6269776.95511354,0.08427655292237503,0.0,0.0,0.0,0.08590928728510155
125,Storage and warehousing,0.0,0.0,0.0,1318.9247825052123,Services,1185.911435237504,1564127.9817910693,2986494.806086123,0.02904817668399654,0.0,0.0,0.0,0.3301841492175713
123,Water Transport,0.0,0.0,0.0,3257.5966378412195,Services,333.89125601390066,1087683.0329954647,1830746.0807367498,0.02019988727678032,0.0,0.0,0.0,0.09296276013735968
