Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
FOOD_M02,Processed Fruit/Veg,69,Rubber products,Manufacturing,2148237.910910552,0.814,1748665.6594811892,0.039895964474679926,0.03944619856255947
TEXT_002,Leather Footwear,70,Plastic products,Manufacturing,2108762.2807442625,0.814,1716532.4965258297,0.039162843468514306,0.03872134237320864
SERV_M03,Support & Travel Agencies,2,Wheat,Agriculture,2104088.7205536,0.827,1740081.3718978274,0.03907604852350847,0.03925255519185825
SERV_003,Road Transport,17,Rubber,Agriculture,2054389.1473503835,0.827,1698979.824858767,0.03815305373003056,0.0383253912271858
TEXT_001,Ready Made Garments,8,Rapeseed and mustard,Agriculture,2021549.6184189965,0.827,1671821.53443251,0.037543174967088276,0.03771275763941829
SERV_M03,Support & Travel Agencies,114,Electricity,Electricity,1930952.558313383,0.814,1571795.3824670936,0.03586065317882323,0.035456379222833394
FOOD_M04,Grain Mill & Bakery,9,Other oil seeds,Agriculture,1930493.5851822896,0.827,1596518.1949457533,0.03585212936698659,0.03601407357953933
CHEM_M04,Other Chemicals,8,Rapeseed and mustard,Agriculture,1919866.2871977568,0.827,1587729.4195125448,0.03565476468000318,0.035815817395470996
TEXT_001,Ready Made Garments,56,Cotton Yarn and Cotton Textiles,Manufacturing,1873496.4208478387,0.814,1525026.0865701407,0.03479360748172627,0.034401362832147446
FOOD_M02,Processed Fruit/Veg,6,Other pulses,Agriculture,1868885.3102946046,0.827,1545568.151613638,0.03470797231911866,0.03486474836968423
UTIL_M01,"Electricity, Heat & Energy",1,Paddy,Agriculture,1863687.0437108316,0.827,1541269.1851488575,0.03461143279809874,0.03476777277925957
SERV_002,Railway Transport,70,Plastic products,Manufacturing,1842048.425391534,0.814,1499427.4182687087,0.034209571559469944,0.03382391102065881
WOOD_M02,Paper Products,114,Electricity,Electricity,1836305.3193356162,0.814,1494752.5299391914,0.034102913561295016,0.03371845542810223
SERV_001,Hotels & Restaurants,18,Fruits,Agriculture,1832673.3069980773,0.827,1515620.8248874098,0.03403546170484368,0.03418920002225964
TEXT_001,Ready Made Garments,69,Rubber products,Manufacturing,1801081.4850488913,0.814,1466080.3288297975,0.03344875471127754,0.033071671217493125
SERV_002,Railway Transport,12,Sugarcane,Agriculture,1786761.6638082457,0.827,1477651.895969419,0.03318281439032938,0.03333270129639622
SERV_001,Hotels & Restaurants,8,Rapeseed and mustard,Agriculture,1682199.7310103439,0.827,1391179.1775455542,0.031240944202152322,0.0313820596727687
SERV_010,Public Admin & Education,1,Paddy,Agriculture,1646896.7104799962,0.827,1361983.5795669567,0.030585314746134264,0.030723468735860782
SERV_018,Other Services,66,"Paper, Paper products and newsprint",Manufacturing,1635287.4521655557,0.814,1331123.9860627623,0.030369713599288296,0.03002734157951948
CHEM_M04,Other Chemicals,66,"Paper, Paper products and newsprint",Manufacturing,1620411.4929261832,0.814,1319014.955241913,0.03009344497078744,0.029754187456791932
FOOD_M06,Beverages,24,Other livestock products,Agriculture,1590566.8322046709,0.827,1315398.7702332628,0.02953918535277351,0.02967261397182255
SERV_001,Hotels & Restaurants,24,Other livestock products,Agriculture,1573839.06442508,0.827,1301564.906279541,0.029228525892903735,0.029360551261923024
SERV_001,Hotels & Restaurants,17,Rubber,Agriculture,1549153.5156754393,0.827,1281149.957463588,0.02877007863668889,0.02890003319760792
